exercise_id,category,sub_category,exercise_name,intensity_desc,met_value,kcal_60kg_per_hour,remark
34,有氧运动,有氧操舞蹈,街舞/韩舞,中高强度,6.5,390,官方dance hip hop标准，爆发力动作多
35,有氧运动,有氧操舞蹈,尊巴Zumba,中等强度,7.0,420,官方Zumba标准，拉丁风格燃脂舞
36,有氧运动,有氧操舞蹈,肚皮舞,中低强度,4.5,270,匹配中等强度舞蹈分类，核心腰腹发力
37,有氧运动,有氧操舞蹈,芭蕾基训,中等强度,5.0,300,官方ballet标准，塑形为主
38,有氧运动,有氧操舞蹈,踏板操（中等强度）,中高强度,6.5,390,官方step aerobics标准，台阶配合动作
39,有氧运动,有氧操舞蹈,蹦床操,高强度,7.5,450,官方trampoline recreational标准，蹦床弹跳燃脂
40,有氧运动,有氧操舞蹈,HIIT高强度间歇训练,极高强度,11.0,660,官方HIIT vigorous标准，含组间休息平均水平
41,骑行运动,户外骑行,户外慢骑（<16km/h平路）,低强度休闲骑,4.0,240,官方bicycling <10mph标准，通勤代步水平
42,骑行运动,户外骑行,户外中速骑（16-19km/h平路）,中等强度,6.0,360,官方bicycling 10-11.9mph标准，常规骑行锻炼
43,骑行运动,户外骑行,户外快速骑（19-22km/h平路）,中高强度,8.0,480,官方bicycling 12-13.9mph标准，匀速巡航
44,骑行运动,户外骑行,户外竞速骑（22-30km/h）,高强度,10.0,600,官方bicycling 14-15.9mph标准，公路车竞速
45,骑行运动,户外骑行,山地自行车（中等越野）,中高强度,8.5,510,官方mountain biking moderate标准，土路+轻度起伏
46,骑行运动,户外骑行,山地自行车（高强度越野）,极高强度,12.0,720,官方mountain biking vigorous标准，陡坡+复杂地形
47,骑行运动,室内动感单车,室内动感单车（低强度）,低强度,5.0,300,官方stationary bike light标准，慢骑热身
48,骑行运动,室内动感单车,室内动感单车（中等强度）,中等强度,7.5,450,官方stationary bike moderate标准，常规跟练课
49,骑行运动,室内动感单车,室内动感单车（高强度冲刺）,高强度,10.0,600,官方stationary bike vigorous标准，间歇冲刺课
50,骑行运动,负重骑行,负重骑行（背包5kg中速）,中高强度,7.0,420,匹配官方负重骑行系数，负重增加消耗
51,球类运动,休闲球类,台球/桌球,极低强度,2.5,150,官方billiards标准，休闲娱乐
52,球类运动,休闲球类,保龄球,低强度,3.0,180,官方bowling标准，常规娱乐
53,球类运动,休闲球类,高尔夫（步行带球包）,中低强度,4.5,270,官方golf walking with clubs标准，18洞步行
54,球类运动,乒羽网类,乒乓球（休闲双打）,低强度,4.0,240,官方table tennis recreational标准，娱乐水平
55,球类运动,乒羽网类,乒乓球（竞技单打）,中等强度,6.0,360,官方table tennis competitive标准，比赛强度
56,球类运动,乒羽网类,羽毛球（休闲双打）,中低强度,4.5,270,官方badminton recreational标准，业余娱乐
57,球类运动,乒羽网类,羽毛球（休闲单打）,中等强度,5.5,330,匹配中等强度羽球分类，常规锻炼
58,球类运动,乒羽网类,羽毛球（竞技比赛）,高强度,8.0,480,官方badminton competitive标准，专业对抗
59,球类运动,乒羽网类,网球（双打）,中等强度,6.0,360,官方tennis doubles标准，业余水平
60,球类运动,乒羽网类,网球（单打）,高强度,8.0,480,官方tennis singles标准，跑动范围大
61,球类运动,大球类,排球（休闲）,中低强度,4.0,240,官方volleyball recreational标准，娱乐局
62,球类运动,大球类,排球（竞技）,中高强度,7.0,420,官方volleyball competitive标准，比赛强度
63,球类运动,大球类,篮球（休闲半场）,中等强度,6.0,360,官方basketball recreational标准，业余打野
64,球类运动,大球类,篮球（全场比赛）,高强度,9.0,540,官方basketball competitive标准，正式对抗
65,球类运动,大球类,足球（休闲）,中高强度,7.0,420,官方soccer recreational标准，业余娱乐局
66,球类运动,大球类,足球（竞技比赛）,极高强度,10.0,600,官方soccer competitive标准，专业全场跑动
67,球类运动,大球类,橄榄球,极高强度,10.0,600,官方football标准，对抗+冲刺
68,球类运动,大球类,棒球/垒球,中等强度,5.0,300,官方baseball/softball标准，常规比赛
69,水上运动,游泳类,水中漫步（慢速）,低强度,3.0,180,官方water walking slow标准，水中行走康复
70,水上运动,游泳类,水中有氧操,中等强度,5.5,330,官方water aerobics标准，水中团体课
71,水上运动,游泳类,蛙泳（慢速度）,中等强度,6.0,360,官方swimming breaststroke slow标准，休闲游动作舒缓
72,水上运动,游泳类,蛙泳（中速）,中高强度,8.0,480,官方swimming breaststroke moderate标准，持续匀速游
73,水上运动,游泳类,自由泳/仰泳（慢速）,中等强度,7.0,420,官方swimming freestyle slow标准，休闲游
74,水上运动,游泳类,自由泳（中速）,高强度,10.0,600,官方swimming freestyle fast标准，持续巡航
75,水上运动,游泳类,蝶泳,极高强度,12.0,720,官方swimming butterfly标准，消耗最高的泳姿
76,水上运动,游泳类,踩水（中等强度）,中低强度,4.0,240,官方treading water moderate标准，水中停留
77,水上运动,其他水上运动,冲浪（休闲）,中等强度,5.0,300,官方surfing recreational标准，新手体验
78,水上运动,其他水上运动,冲浪（高强度）,高强度,8.0,480,官方surfing vigorous标准，专业进阶
79,水上运动,其他水上运动,水球,高强度,8.0,480,官方water polo标准，团队对抗
80,水上运动,其他水上运动,水肺潜水,中等强度,7.0,420,官方scuba diving标准，休闲潜水
81,水上运动,其他水上运动,自由潜训练,中低强度,5.0,300,匹配静态闭气+动态潜水分类，训练强度
82,水上运动,其他水上运动,漂流,低强度,4.0,240,匹配休闲水上活动分类，休闲漂流
83,力量抗阻训练,自重训练,低强度自重循环,低强度新手入门,3.5,210,官方weight lifting light标准，跪姿俯卧撑、慢深蹲等
84,力量抗阻训练,自重训练,中强度自重训练,中等强度,5.0,300,官方bodyweight training moderate标准，标准俯卧撑、卷腹、平板循环
85,力量抗阻训练,自重训练,高强度自重训练,高强度,7.0,420,官方bodyweight training vigorous标准，波比跳、引体向上、双杠臂屈伸
86,力量抗阻训练,自重训练,静态平板支撑,低强度,3.0,180,官方plank标准，核心静态发力
87,力量抗阻训练,自重训练,卷腹/仰卧起坐,中低强度,4.0,240,官方sit ups/crunches标准，腰腹核心
88,力量抗阻训练,自重训练,自重深蹲,中低强度,4.5,270,匹配下肢自重训练分类，下肢基础
89,力量抗阻训练,器械自由重量,低强度力量训练,低强度轻重量长休息,3.5,210,官方weight lifting light标准，新手入门组间休息长
90,力量抗阻训练,器械自由重量,中等强度力量训练,中等强度常规休息,5.0,300,官方weight lifting moderate标准，健身房常规器械训练
91,力量抗阻训练,器械自由重量,高强度力量训练,高强度大重量短休息,7.0,420,官方weight lifting vigorous标准，自由重量复合动作
92,力量抗阻训练,器械自由重量,负重深蹲（大重量）,高强度,8.0,480,匹配大重量复合动作分类，杠铃深蹲全身发力
93,力量抗阻训练,器械自由重量,硬拉（大重量）,极高强度,8.5,510,匹配大重量复合动作分类，全身复合动作
94,力量抗阻训练,器械自由重量,卧推（大重量）,高强度,7.5,450,匹配大重量复合动作分类，胸肩肱三头复合
95,力量抗阻训练,器械自由重量,固定器械循环训练,中等强度,6.0,360,官方circuit training moderate标准，无长休息循环训练
96,力量抗阻训练,器械自由重量,CrossFit综合训练,极高强度,10.0,600,官方CrossFit标准，多动作高强度循环
97,力量抗阻训练,器械自由重量,壶铃训练,高强度,8.0,480,官方kettlebell training标准，摆动+抓举动作
98,力量抗阻训练,器械自由重量,战绳训练,高强度,9.0,540,官方battle rope标准，全身爆发力训练
99,拉伸瑜伽轻活动,拉伸瑜伽,静态拉伸放松,极低强度,2.0,120,官方stretching mild标准，运动后放松
100,拉伸瑜伽轻活动,拉伸瑜伽,哈他瑜伽（基础）,低强度,2.5,150,官方Hatha yoga标准，新手入门瑜伽
101,拉伸瑜伽轻活动,拉伸瑜伽,阴瑜伽,极低强度,2.0,120,匹配静态瑜伽分类，长时间静态保持
102,拉伸瑜伽轻活动,拉伸瑜伽,流瑜伽/力量瑜伽,中等强度,4.0,240,官方Vinyasa yoga标准，连贯动作心率提升
103,拉伸瑜伽轻活动,拉伸瑜伽,阿斯汤加瑜伽,中高强度,5.5,330,官方Ashtanga yoga标准，高强度串联瑜伽
104,拉伸瑜伽轻活动,拉伸瑜伽,高温瑜伽,中等强度,6.0,360,官方hot yoga标准，高温环境额外消耗
105,拉伸瑜伽轻活动,拉伸瑜伽,普拉提（垫上）,低强度,3.0,180,官方Pilates mat标准，核心塑形为主
106,拉伸瑜伽轻活动,拉伸瑜伽,普拉提（大器械）,中等强度,4.0,240,官方Pilates reformer标准，器械抗阻塑形
107,拉伸瑜伽轻活动,日常轻活动,慢走逛街,低强度,2.5,150,官方walking shopping标准，日常休闲步行
108,拉伸瑜伽轻活动,日常轻活动,扫地拖地家务,低强度,3.0,180,官方housework sweeping标准，日常家务
109,拉伸瑜伽轻活动,日常轻活动,擦窗擦桌家务,中低强度,3.5,210,官方housework cleaning标准，上肢活动多
110,拉伸瑜伽轻活动,日常轻活动,站立办公,极低强度,1.8,108,官方standing light activity标准，比静坐多消耗80%
111,户外与极限运动,攀岩运动,室内休闲攀岩（新手简单线路）,中低强度,5.8,348,官方rock climbing beginner标准，新手体验含线路间休息
112,户外与极限运动,攀岩运动,室内顶绳攀岩（中等难度）,中等强度,7.5,450,官方rock climbing top rope moderate标准，有保护持续攀爬
113,户外与极限运动,攀岩运动,室内先锋攀岩,中高强度,8.0,480,官方rock climbing lead标准，自主挂绳攀爬，发力要求更高
114,户外与极限运动,攀岩运动,室内抱石,高强度,8.0,480,官方rock climbing bouldering标准，短线路爆发力，含组间休息
115,户外与极限运动,攀岩运动,户外运动攀岩,高强度,8.5,510,官方rock climbing outdoor sport标准，自然岩壁地形不规则
116,户外与极限运动,攀岩运动,户外传统攀岩,极高强度,9.0,540,官方rock climbing traditional标准，自主放保护点，难度与心理负荷双高
117,户外与极限运动,攀岩运动,竞技速度攀岩,极高强度,10.5,630,官方speed climbing competition标准，比赛级极速攀爬
118,户外与极限运动,攀岩运动,攀岩速降/溪降,中等强度,8.0,480,官方rappelling标准，下降控制发力，核心稳定参与
119,有氧运动,器械有氧,椭圆机（低强度）,低强度,4.5,270,官方elliptical trainer light标准，慢速度低阻力热身
120,有氧运动,器械有氧,椭圆机（中等强度）,中等强度,6.0,360,官方elliptical trainer moderate标准，常规阻力燃脂区间
121,有氧运动,器械有氧,椭圆机（高强度）,高强度,8.0,480,官方elliptical trainer vigorous标准，大阻力快速踩踏
122,有氧运动,器械有氧,划船机（低强度）,低强度,4.8,288,官方rowing machine light标准，慢划放松激活全身
123,有氧运动,器械有氧,划船机（中等强度）,中等强度,7.0,420,官方rowing machine moderate标准，匀速划行，全身80%肌肉参与
124,有氧运动,器械有氧,划船机（高强度）,高强度,8.5,510,官方rowing machine vigorous标准，快速划行，有氧+力量复合
125,有氧运动,器械有氧,台阶机/登山机（中等强度）,中高强度,8.0,480,官方stair climber moderate标准，常规速度持续攀爬
126,有氧运动,器械有氧,台阶机/登山机（高强度）,极高强度,10.0,600,官方stair climber vigorous标准，快速攀爬大阻力
127,网红跟练课程,帕梅拉系列,帕梅拉10分钟低强度拉伸,极低强度,2.5,150,匹配静态拉伸官方分类，晨起睡前拉伸
128,网红跟练课程,帕梅拉系列,帕梅拉15分钟新手有氧,中低强度,5.0,300,匹配低冲击有氧官方分类，入门燃脂
129,网红跟练课程,帕梅拉系列,帕梅拉20分钟中等燃脂操,中等强度,7.0,420,匹配高强度有氧操官方分类，经典内啡肽系列
130,网红跟练课程,帕梅拉系列,帕梅拉30分钟高强度HIIT,高强度,10.0,600,匹配HIIT官方分类，暴汗燃脂系列
131,网红跟练课程,帕梅拉系列,帕梅拉无人生还地狱HIIT 30分钟,极高强度,11.0,660,匹配极高强度HIIT官方分类，含大量波比跳
132,网红跟练课程,帕梅拉系列,帕梅拉10分钟腹肌训练,中低强度,4.5,270,匹配核心训练官方分类，核心塑形
133,网红跟练课程,帕梅拉系列,帕梅拉15分钟翘臀轰炸,中等强度,6.0,360,匹配下肢力量训练官方分类，臀部塑形
134,网红跟练课程,帕梅拉系列,帕梅拉10分钟天鹅臂训练,低强度,3.5,210,匹配上肢塑形官方分类，肩臂塑形
135,网红跟练课程,帕梅拉系列,帕梅拉15分钟普拉提全身,低强度,4.0,240,匹配普拉提官方分类，低冲击塑形
136,网红跟练课程,帕梅拉系列,帕梅拉6分钟晨起热身,极低强度,3.0,180,匹配热身活动官方分类，激活全身
137,网红跟练课程,帕梅拉系列,帕梅拉10分钟睡前拉伸,极低强度,2.0,120,匹配静态拉伸官方分类，全身放松
138,网红跟练课程,帕梅拉系列,帕梅拉15分钟内啡肽燃脂舞,中高强度,8.0,480,匹配有氧舞蹈官方分类，快乐燃脂
139,网红跟练课程,帕梅拉系列,帕梅拉10分钟暴汗有氧,高强度,9.0,540,匹配高强度有氧官方分类，短时间高效燃脂
140,网红跟练课程,帕梅拉系列,帕梅拉10分钟下腹训练,中低强度,4.5,270,匹配核心训练官方分类，下腹部专项
141,网红跟练课程,帕梅拉系列,帕梅拉10分钟侧腰曲线训练,中低强度,4.0,240,匹配核心训练官方分类，腰侧塑形
142,网红跟练课程,帕梅拉系列,帕梅拉15分钟复古金曲燃脂舞,中等强度,6.5,390,匹配有氧舞蹈官方分类，低难度动作
143,网红跟练课程,帕梅拉系列,帕梅拉帕门能量舞10分钟,中高强度,8.0,480,匹配有氧舞蹈官方分类，趣味燃脂
144,网红跟练课程,刘畊宏系列,刘畊宏本草纲目毽子操,中等强度,6.5,390,匹配有氧操官方分类，经典全身协调
145,网红跟练课程,刘畊宏系列,刘畊宏公公偏头痛,中等强度,6.0,360,匹配肩颈活动官方分类，改善圆肩
146,网红跟练课程,刘畊宏系列,刘畊宏龙拳操,高强度,8.5,510,匹配搏击有氧官方分类，高强度跳跃
147,网红跟练课程,刘畊宏系列,刘畊宏周大侠,高强度,8.0,480,匹配拳击有氧官方分类，爆发力强
148,网红跟练课程,刘畊宏系列,刘畊宏女神操,中低强度,5.5,330,匹配低冲击有氧官方分类，腰腹髋部发力
149,网红跟练课程,刘畊宏系列,刘畊宏牛仔很忙,中等强度,6.0,360,匹配有氧操官方分类，全身协调动作
150,网红跟练课程,刘畊宏系列,刘畊宏记得要勇敢,中低强度,5.5,330,匹配低强度有氧官方分类，新手过渡
151,网红跟练课程,刘畊宏系列,刘畊宏霍元甲,高强度,7.5,450,匹配武术有氧官方分类，全身发力
152,网红跟练课程,刘畊宏系列,畊练团肩背拉伸放松,低强度,3.0,180,匹配静态拉伸官方分类，练后放松
153,网红跟练课程,周六野系列,周六野5分钟马甲线训练,中低强度,4.0,240,匹配核心训练官方分类，短时长核心
154,网红跟练课程,周六野系列,周六野10分钟低强度有氧,低强度,4.5,270,匹配低冲击有氧官方分类，新手友好
155,网红跟练课程,周六野系列,周六野20分钟燃脂HIIT,高强度,8.0,480,匹配HIIT官方分类，间歇燃脂
156,网红跟练课程,周六野系列,周六野15分钟臀腿训练,中等强度,5.5,330,匹配下肢力量官方分类，下肢塑形
157,网红跟练课程,海外热门博主,Chloe Ting 15分钟高强度HIIT,高强度,10.0,600,匹配HIIT官方分类，2周Shred系列核心
158,网红跟练课程,海外热门博主,Chloe Ting 10分钟腹肌训练,中低强度,4.5,270,匹配核心训练官方分类，马甲线专项
159,网红跟练课程,海外热门博主,Chloe Ting 30分钟全身燃脂塑形,中高强度,8.0,480,匹配有氧+力量复合分类，塑形兼顾
160,网红跟练课程,海外热门博主,Chloe Ting 20分钟全身力量训练,中等强度,6.0,360,匹配自重力量官方分类，无器械增肌
161,网红跟练课程,海外热门博主,Chloe Ting每日完整训练40分钟,中高强度,7.5,450,匹配综合训练官方分类，含热身拉伸
162,网红跟练课程,海外热门博主,Eleni Fit 20分钟站立无跳跃HIIT,中等强度,7.5,450,匹配低冲击HIIT官方分类，膝盖友好
163,网红跟练课程,海外热门博主,Eleni Fit 30分钟站立核心燃脂,中等强度,7.0,420,匹配站立有氧官方分类，无跑跳瘦腰腹
164,网红跟练课程,海外热门博主,Eleni Fit 45分钟全身站立HIIT,中高强度,8.7,522,匹配稳态有氧官方分类，长时长燃脂
165,网红跟练课程,海外热门博主,Eleni Fit 10分钟站姿瘦腰训练,中低强度,5.0,300,匹配核心训练官方分类，久坐友好
166,网红跟练课程,海外热门博主,Eleni Fit 30分钟无跳跃普拉提,低强度,4.0,240,匹配普拉提官方分类，低冲击塑形
167,网红跟练课程,海外热门博主,Growing Annanas 30分钟杀手级HIIT,极高强度,10.7,642,匹配极高强度HIIT官方分类，进阶动作
168,网红跟练课程,海外热门博主,MadFit 30分钟流行燃脂舞,中等强度,7.0,420,匹配有氧舞蹈官方分类，跟跳流行歌曲
169,网红跟练课程,海外热门博主,FitnessBlender 45分钟全身力量有氧,中高强度,8.0,480,匹配综合训练官方分类，专业系统训练
170,网红跟练课程,海外热门博主,Blogilates 30分钟普拉提燃脂,中等强度,6.0,360,匹配普拉提有氧官方分类，塑形为主
171,网红跟练课程,海外热门博主,Walk at Home 30分钟居家走,低强度,4.5,270,匹配室内步行官方分类，零门槛燃脂
172,网红跟练课程,海外热门博主,Body Project 30分钟低冲击有氧,中等强度,6.0,360,匹配低冲击有氧官方分类，大基数友好
173,网红跟练课程,国内热门博主,闫帅奇20分钟全身燃脂HIIT,中高强度,8.0,480,匹配HIIT官方分类，男生向新手友好
174,网红跟练课程,国内热门博主,闫帅奇15分钟腹肌撕裂者,中等强度,6.0,360,匹配核心训练官方分类，腹部专项
175,网红跟练课程,国内热门博主,闫帅奇30分钟居家力量训练,中等强度,6.0,360,匹配自重力量官方分类，全身覆盖
176,网红跟练课程,国内热门博主,闫帅奇10分钟胸肌训练,中等强度,5.5,330,匹配上肢力量官方分类，徒手胸肌
177,网红跟练课程,国内热门博主,叔贵15分钟体态矫正训练,低强度,3.5,210,匹配体态训练官方分类，改善圆肩驼背
178,网红跟练课程,国内热门博主,叔贵10分钟瘦大腿内侧,中低强度,4.0,240,匹配下肢塑形官方分类，内收肌专项
179,网红跟练课程,国内热门博主,叔贵20分钟居家减脂操,中等强度,6.0,360,匹配有氧操官方分类，新手友好
180,网红跟练课程,国内热门博主,韩小四8分钟瘦手臂,低强度,3.0,180,匹配上肢塑形官方分类，改善蝴蝶袖
181,网红跟练课程,国内热门博主,韩小四12分钟瘦小腿,低强度,3.5,210,匹配下肢塑形官方分类，改善肌肉腿
182,网红跟练课程,国内热门博主,韩小四20分钟无跳跃全身燃脂,中等强度,6.0,360,匹配低冲击有氧官方分类，大基数友好
183,网红跟练课程,国内热门博主,韩小四15分钟假胯宽改善,中低强度,4.5,270,匹配下肢塑形官方分类，矫正腿型
184,网红跟练课程,国内热门博主,欧阳春晓30分钟沙漏腰3.0,中等强度,6.0,360,匹配站立核心有氧官方分类，全程站立
185,网红跟练课程,国内热门博主,欧阳春晓15分钟骨盆前倾改善,低强度,3.0,180,匹配体态矫正官方分类，缓解腰痛
186,网红跟练课程,国内热门博主,欧阳春晓10分钟紧致手臂,低强度,3.0,180,匹配上肢塑形官方分类，消除拜拜肉
187,网红跟练课程,国内热门博主,欧阳春晓20分钟全身燃脂走,中低强度,5.0,300,匹配低强度步行有氧官方分类，无跳跃
188,网红跟练课程,国内热门博主,吉尼13分钟最强瘦背,中高强度,7.7,462,匹配背部力量训练官方分类，改善圆肩
189,网红跟练课程,国内热门博主,MIZI 10分钟瘦背训练,中等强度,5.1,306,匹配背部塑形官方分类，改善斜方肌紧张
190,网红跟练课程,国内热门博主,海洋饼干Sophie 20分钟瘦腿训练,中低强度,4.5,270,匹配下肢塑形官方分类，梨形身材友好
191,网红跟练课程,国内热门博主,体态大师15分钟气场女王,低强度,3.5,210,匹配体态矫正官方分类，改善圆肩驼背
192,网红跟练课程,国内热门博主,Coffee林芊妤20分钟瘦大腿,中低强度,4.5,270,匹配下肢塑形官方分类，躺练为主
193,网红跟练课程,国内热门博主,Coffee林芊妤30分钟孕妇操,低强度,3.5,210,匹配孕期轻运动官方分类，安全舒缓
194,网红跟练课程,国内热门博主,帅soserious 30分钟全身力量,中高强度,7.0,420,匹配力量训练官方分类，增肌减脂兼顾
195,网红跟练课程,Jo姐系列,Jo姐30分钟踏步燃脂走,低强度,5.0,300,匹配室内步行有氧官方分类，大基数友好
196,网红跟练课程,Jo姐系列,Jo姐45分钟HIIT拳击训练,中高强度,7.0,420,匹配拳击有氧官方分类，释放压力
197,网红跟练课程,Jo姐系列,Jo姐20分钟哑铃力量训练,中等强度,6.0,360,匹配轻重量力量官方分类，全身覆盖
198,网红跟练课程,Jo姐系列,Jo姐10分钟晨起唤醒操,低强度,4.0,240,匹配低强度唤醒官方分类，开启代谢
199,网红跟练课程,Jo姐系列,Jo姐30分钟低冲击快走,中等强度,5.0,300,匹配快走官方分类，无跳跃大体重友好
200,网红跟练课程,Jo姐系列,Jo姐60分钟全身有氧,中高强度,7.0,420,匹配稳态有氧官方分类，长时间燃脂
201,网红跟练课程,美丽芭蕾系列,美丽芭蕾天鹅臂,低强度,3.5,210,匹配上肢塑形官方分类，肩臂塑形
202,网红跟练课程,美丽芭蕾系列,美丽芭蕾第三套全身塑形,中等强度,5.0,300,匹配全身塑形官方分类，紧致线条
203,网红跟练课程,美丽芭蕾系列,美丽芭蕾臀腿专项训练,中等强度,5.5,330,匹配下肢塑形官方分类，提升臀线
204,网红跟练课程,美丽芭蕾系列,美丽芭蕾腰腹核心训练,中等强度,5.0,300,匹配核心训练官方分类，收紧腰腹
205,网红跟练课程,国内热门博主,郑多燕小红帽有氧操,中等强度,6.0,360,匹配有氧操官方分类，经典全身有氧
206,网红跟练课程,国内热门博主,郑多燕小灰帽哑铃操,中等强度,5.0,300,匹配轻重量力量官方分类，新手友好
207,网红跟练课程,国内热门博主,张妮塑形30分钟产后恢复,低强度,3.5,210,匹配产后修复官方分类，核心修复
208,网红跟练课程,国内热门博主,铁蛋妹妹15分钟无跑跳踏步,中低强度,4.8,288,匹配低冲击有氧官方分类，大基数友好
209,网红跟练课程,国内热门博主,范李猿15分钟体态矫正,低强度,3.0,180,匹配体态训练官方分类，肩背矫正
210,网红跟练课程,国内热门博主,修贤20分钟男生减脂操,中等强度,6.5,390,匹配有氧操官方分类，男生向全身燃脂
211,网红跟练课程,国内热门博主,颜婕10分钟瑜伽拉伸,极低强度,2.5,150,匹配瑜伽拉伸官方分类，放松肌肉
212,网红跟练课程,小马哥系列,小马哥燃脂舞（中强度）,中等强度,7.0,420,匹配有氧舞蹈官方分类，趣味舞蹈燃脂
213,网红跟练课程,小马哥系列,小马哥燃脂舞（高强度合集）,高强度,8.0,480,匹配高强度舞蹈官方分类，连跳高强度
